date,district,temperature_c,humidity_pct,rainfall_mm,condition
2026-04-01,North 24 Parganas,30.16049091419333,55.8796149077635,26.182429256427408,rain
2026-04-02,North 24 Parganas,28.905623392210043,43.50262349396249,34.30458865746268,rain
2026-04-03,North 24 Parganas,28.54984281056591,85.00444438838778,5.359827137722161,rain
2026-04-04,North 24 Parganas,32.794443112621835,41.878069795319874,10.040222870545552,rain
2026-04-05,North 24 Parganas,25.743531596887088,87.97694039407381,34.96991682054388,clear
2026-04-06,North 24 Parganas,27.680780957639634,29.298101788518338,28.190766762904957,clear
2026-04-07,North 24 Parganas,24.425548885757628,53.44302992569298,30.793175875786304,clear
2026-04-08,North 24 Parganas,33.8748936803811,35.75150168007903,21.927496808416752,clear
2026-04-09,North 24 Parganas,33.418810934259916,54.110720610503485,14.620396912994634,rain
2026-04-10,North 24 Parganas,28.523118096880083,87.04719673159313,16.22310040685988,cloudy
2026-04-11,North 24 Parganas,27.260109846694277,52.7307497579836,25.315769862739643,clear
2026-04-12,North 24 Parganas,26.460071162652916,72.18057140588637,19.893530769728624,rain
2026-04-13,North 24 Parganas,30.593259780416325,66.37032758095654,31.5124015228313,rain
2026-04-14,North 24 Parganas,32.62438684433524,77.10885486981945,13.118582349568616,cloudy
2026-04-15,North 24 Parganas,26.13513682729226,36.7625523742617,3.802756361655923,rain
2026-04-16,North 24 Parganas,28.5231981054187,84.0899159434367,33.45064950816496,rain
2026-04-17,North 24 Parganas,28.121178466892665,40.36340432960573,11.818910347739289,clear
2026-04-18,North 24 Parganas,30.596514611265846,86.10156253043601,15.11243366681809,cloudy
2026-04-19,North 24 Parganas,24.238353959766748,40.80010345526175,19.858751694446603,clear
2026-04-20,North 24 Parganas,26.73319981870298,74.25024537890457,19.717740170086927,clear
2026-04-21,North 24 Parganas,30.41238141073856,63.65428685005942,28.029288105095482,clear
2026-04-22,North 24 Parganas,28.11289731535991,57.0519453379013,30.381053468929966,clear
2026-04-23,North 24 Parganas,31.62620269740019,58.174469244519656,21.362531540212835,rain
2026-04-24,North 24 Parganas,29.305881107994736,66.9413084261628,1.23555707683138,clear
